AGEPH,CODPOSS,duree,lnexpo,nbrtotc,nbrtotan,chargtot,agecar,sexp,fuelc,split,usec,fleetc,sportc,coverp,powerc
31,6000,1,0,0,0,0,6-10,Female,Gasoil,Twice,Private,No,No,MTPL+,<66
29,6000,1,0,0,0,0,2-5,Female,Gasoil,Thrice,Private,No,No,MTPL+++,<66
38,6000,1,0,0,0,0,2-5,Female,Petrol,Twice,Professional,No,No,MTPL,66-110
50,6000,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
52,6000,0.797260274,-0.226574086,0,0,0,>10,Female,Gasoil,Once,Private,No,No,MTPL+,<66
44,6000,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
61,6120,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL+++,<66
60,6200,1,0,1,1,1301.0443754,2-5,Female,Gasoil,Once,Private,No,No,MTPL+,<66
30,6200,0.7506849315,-0.286769247,1,1.3321167883,161.97362909,2-5,Female,Petrol,Twice,Private,No,No,MTPL,66-110
58,6220,0.9753424658,-0.024966623,1,1.0252808989,93.852488479,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
34,6220,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
47,6230,0.2383561644,-1.433989235,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
31,6230,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,Yes,No,MTPL+,<66
44,6240,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
53,6250,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
52,6280,1,0,0,0,0,2-5,Female,Petrol,Once,Professional,No,No,MTPL,66-110
31,6280,1,0,0,0,0,6-10,Female,Gasoil,Thrice,Private,No,No,MTPL,<66
46,6460,0.7315068493,-0.312648695,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL,<66
39,6460,1,0,0,0,0,0-1,Female,Gasoil,Twice,Private,No,No,MTPL+,<66
38,6590,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+++,<66
47,6660,0.3342465753,-1.095876309,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
44,6700,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
32,6750,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
44,6767,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+,<66
34,6780,1,0,0,0,0,6-10,Female,Gasoil,Thrice,Private,No,No,MTPL,<66
29,6780,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL,<66
52,6790,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
38,6800,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+++,<66
31,6800,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
32,6870,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL+,<66
39,6980,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+++,<66
38,7000,1,0,0,0,0,>10,Female,Gasoil,Monthly,Private,No,No,MTPL,<66
41,7000,1,0,0,0,0,6-10,Female,Gasoil,Thrice,Private,No,No,MTPL,<66
30,7000,0.8328767123,-0.182869652,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
62,7060,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,66-110
27,7060,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
49,7060,1,0,1,1,140.0598415,6-10,Female,Gasoil,Twice,Private,Yes,No,MTPL+,<66
65,7070,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,Yes,No,MTPL,66-110
60,7080,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,Yes,No,MTPL+++,<66
43,7080,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,66-110
29,7120,0.0876712329,-2.434161451,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
28,7120,1,0,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+,66-110
31,7120,0.7232876712,-0.32394825,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL+,<66
31,7130,1,0,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,<66
39,7130,0.9479452055,-0.053458579,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,<66
41,7130,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+,66-110
35,7140,1,0,1,1,73.029432398,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,<66
35,7300,1,0,0,0,0,0-1,Female,Petrol,Once,Professional,No,No,MTPL+++,66-110
65,7300,1,0,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
40,7320,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+++,<66
58,7330,0.6794520548,-0.386468607,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+++,<66
32,7330,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,Yes,No,MTPL+,<66
34,7340,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,66-110
55,7340,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,Yes,No,MTPL+,<66
45,7350,1,0,0,0,0,6-10,Female,Gasoil,Twice,Private,No,No,MTPL+++,<66
47,7500,1,0,1,1,59.097816306,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
75,7600,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+++,<66
26,7610,1,0,1,1,145.01771199,6-10,Female,Gasoil,Thrice,Private,No,No,MTPL,<66
29,7620,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL+,<66
41,7620,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
34,7620,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL,<66
40,7700,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
58,7730,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
57,7730,1,0,1,1,131.97851259,6-10,Female,Petrol,Once,Private,No,No,MTPL+,66-110
57,7730,1,0,0,0,0,2-5,Female,Petrol,Once,Private,Yes,No,MTPL+++,66-110
35,7730,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
33,7730,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL,<66
33,7740,1,0,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+,66-110
29,7800,0.8821917808,-0.125345808,1,1.1335403727,65.54304795,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+++,<66
53,7800,1,0,1,1,145.01771199,6-10,Female,Gasoil,Once,Professional,No,No,MTPL+++,<66
46,7800,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
36,7800,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+,<66
49,7830,1,0,0,0,0,6-10,Female,Gasoil,Thrice,Private,No,No,MTPL+,<66
60,7860,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL,<66
40,7860,1,0,0,0,0,2-5,Female,Gasoil,Thrice,Private,No,No,MTPL,<66
39,7870,0.0054794521,-5.206750173,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
40,7890,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
50,7970,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL,<66
34,8000,1,0,0,0,0,6-10,Female,Petrol,Twice,Professional,No,No,MTPL,66-110
27,8000,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL,<66
56,8370,0.0383561644,-3.260840024,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,66-110
55,8370,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL,<66
46,8370,1,0,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+,66-110
62,8400,0.498630137,-0.695890667,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
53,8400,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
36,8400,0.8904109589,-0.116072171,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL,<66
47,8400,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,<66
69,8430,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL+,<66
43,8450,1,0,0,0,0,6-10,Female,Petrol,Once,Private,Yes,No,MTPL,<66
32,8500,1,0,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
48,8500,1,0,1,1,131.97851259,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
30,8500,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL,<66
58,8530,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
26,8530,0.4191780822,-0.869459432,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
26,8530,0.2191780822,-1.517870719,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
42,8560,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL,<66
43,8570,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL+,<66
54,8660,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
42,8790,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,<66
71,8800,0.498630137,-0.695890667,0,0,0,2-5,Female,Gasoil,Twice,Professional,No,No,MTPL,<66
24,8800,1,0,1,1,4090.2431588,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
28,8800,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
37,8870,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,66-110
26,8900,1,0,0,0,0,>10,Female,Gasoil,Once,Private,No,No,MTPL,<66
48,8930,1,0,0,0,0,2-5,Female,Petrol,Once,Private,Yes,No,MTPL+,<66
47,8930,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
71,8980,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
25,8980,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
41,9000,1,0,0,0,0,0-1,Female,Petrol,Once,Private,No,No,MTPL,<66
46,9000,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
20,9000,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
24,9100,1,0,0,0,0,>10,Female,Gasoil,Once,Private,No,No,MTPL,<66
60,9120,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
31,9120,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+,<66
45,9160,0.8164383562,-0.202803867,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL,<66
36,9220,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL,66-110
29,9290,0.0328767123,-3.414990704,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
31,9290,0.0794520548,-2.532601524,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
55,9300,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
58,9300,1,0,0,0,0,0-1,Female,Gasoil,Once,Private,No,No,MTPL+,66-110
29,9450,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,Yes,No,MTPL+++,<66
26,9450,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL,<66
45,9470,1,0,0,0,0,>10,Female,Gasoil,Once,Private,No,No,MTPL,<66
31,9470,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
71,9660,1,0,0,0,0,2-5,Female,Petrol,Once,Private,Yes,No,MTPL,66-110
29,9690,1,0,0,0,0,>10,Female,Gasoil,Once,Private,No,No,MTPL,<66
56,9830,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
49,9890,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
43,9890,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
35,9940,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
42,9940,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL,<66
45,9940,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
48,9960,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL,<66
61,1000,0.1095890411,-2.211017899,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
49,1000,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
41,1000,0.7178082192,-0.33155285,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
71,1000,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL+,<66
66,1000,1,0,0,0,0,>10,Female,Gasoil,Twice,Private,No,No,MTPL,<66
37,1000,1,0,0,0,0,6-10,Female,Gasoil,Thrice,Professional,Yes,No,MTPL+,<66
33,1000,0.495890411,-0.701400322,0,0,0,0-1,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
67,1000,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,66-110
33,1000,1,0,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+,<66
64,1000,1,0,0,0,0,6-10,Female,Gasoil,Thrice,Private,No,No,MTPL+,<66
37,1000,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
66,1000,1,0,1,1,64.625841908,2-5,Female,Gasoil,Twice,Private,No,No,MTPL+++,<66
29,1000,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,<66
30,1000,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
46,1000,0.8493150685,-0.163325056,5,5.8870967742,6414.7159512,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
65,1030,0.4657534247,-0.764098917,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
51,1030,1,0,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
54,1030,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,<66
47,1030,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
48,1030,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
55,1030,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
32,1030,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
68,1030,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
73,1030,0.6547945205,-0.423433802,0,0,0,>10,Female,Petrol,Thrice,Private,No,No,MTPL,<66
50,1030,0.5671232877,-0.56717856,2,3.5265700483,2900.7508695,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
46,1030,0.4136986301,-0.882617517,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+++,<66
53,1030,0.1205479452,-2.11570772,0,0,0,6-10,Female,Gasoil,Thrice,Private,No,No,MTPL+,<66
34,1040,0.5863013699,-0.533921339,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
45,1040,0.402739726,-0.909464767,1,2.4829931973,1528.4371057,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
34,1040,1,0,1,1,1227.2960518,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
48,1050,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
58,1050,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
71,1050,0.301369863,-1.199416988,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
68,1050,0.498630137,-0.695890667,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
45,1050,1,0,1,1,150.37221213,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
30,1050,1,0,1,1,1426.3793415,6-10,Female,Petrol,Once,Private,Yes,No,MTPL+++,<66
34,1060,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
45,1060,1,0,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
27,1060,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL+,<66
33,1060,1,0,2,2,1571.3970535,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
61,1070,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,<66
30,1070,1,0,1,1,4.883502438,6-10,Female,Gasoil,Monthly,Private,No,No,MTPL,<66
62,1070,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
29,1070,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
60,1070,1,0,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
50,1070,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
26,1070,0.2547945205,-1.36729786,1,3.9247311828,389.46551677,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
65,1070,1,0,0,0,0,6-10,Female,Petrol,Once,Private,Yes,No,MTPL+,<66
72,1070,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,<66
65,1070,1,0,0,0,0,6-10,Female,Petrol,Once,Private,Yes,No,MTPL+,<66
54,1070,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
33,1070,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+++,<66
62,1070,1,0,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+,<66
38,1070,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
35,1070,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,Yes,No,MTPL+,<66
30,1070,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
33,1070,0.0547945205,-2.90416508,0,0,0,2-5,Female,Gasoil,Thrice,Private,No,No,MTPL+++,<66
29,1070,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
46,1070,1,0,0,0,0,0-1,Female,Petrol,Once,Private,No,No,MTPL+++,<66
67,1070,1,0,3,3,3297.157405,2-5,Female,Petrol,Once,Private,No,No,MTPL+,<66
30,1070,1,0,0,0,0,>10,Female,Gasoil,Twice,Private,No,No,MTPL,<66
38,1070,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL+,<66
73,1080,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,66-110
34,1080,0.701369863,-0.354719909,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
59,1080,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
20,1080,1,0,0,0,0,>10,Female,Gasoil,Once,Private,No,No,MTPL,<66
52,1081,0.9945205479,-0.005494519,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,<66
65,1082,0.9287671233,-0.073897246,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,<66
34,1083,0.8,-0.223143551,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL+,<66
30,1083,0.1123287671,-2.186325287,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
63,1090,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL,<66
42,1090,1,0,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
58,1090,0.997260274,-0.002743486,1,1.0027472527,583.11993832,>10,Female,Petrol,Once,Private,No,No,MTPL,<66
50,1090,0.6246575342,-0.470551725,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
67,1090,1,0,0,0,0,6-10,Female,Petrol,Once,Private,Yes,No,MTPL+++,<66
32,1090,1,0,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
45,1090,0.5863013699,-0.533921339,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
55,1140,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
45,1140,1,0,1,1,4.9578704955,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+++,<66
53,1140,0.7479452055,-0.290425558,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
47,1140,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,<66
33,1150,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
51,1150,0.8082191781,-0.212921997,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
49,1150,0.3561643836,-1.032362903,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
46,1150,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
70,1150,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
23,1150,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
30,1150,0.0054794521,-5.206750173,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL,<66
45,1150,0.7561643836,-0.279496488,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+++,<66
43,1160,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,<66
23,1160,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
49,1180,0.8246575342,-0.192787089,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
49,1180,1,0,2,2,4462.0834459,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
45,1180,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
60,1180,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
47,1180,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,<66
27,1180,0.6876712329,-0.374444414,0,0,0,>10,Female,Gasoil,Monthly,Private,No,No,MTPL,<66
30,1180,0.7534246575,-0.283126256,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
56,1180,1,0,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
66,1180,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL+,<66
46,1180,1,0,1,1,1426.3793415,>10,Female,Petrol,Once,Private,Yes,No,MTPL,<66
42,1180,1,0,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
64,1190,1,0,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
52,1190,0.6191780822,-0.479362354,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
44,1190,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL+,<66
33,1190,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,<66
44,1190,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL,<66
45,1190,1,0,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+++,<66
36,1200,1,0,2,2,141.81988552,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
53,1200,1,0,0,0,0,6-10,Female,Petrol,Once,Professional,Yes,No,MTPL+,<66
48,1200,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
37,1300,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
50,1300,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
26,1300,0.2383561644,-1.433989235,0,0,0,6-10,Female,Gasoil,Monthly,Private,No,No,MTPL,<66
66,1300,0.1205479452,-2.11570772,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
28,1300,0.0246575342,-3.702672776,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
29,1300,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
32,1310,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL,<66
63,1325,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,<66
43,1330,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+++,<66
53,1330,1,0,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+++,<66
35,1340,1,0,1,1,212.59348685,6-10,Female,Gasoil,Monthly,Private,No,No,MTPL,<66
47,1360,1,0,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+++,<66
65,1360,1,0,0,0,0,2-5,Female,Gasoil,Thrice,Private,No,No,MTPL+,<66
48,1360,1,0,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
48,1360,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,<66
47,1367,1,0,0,0,0,6-10,Female,Gasoil,Monthly,Private,No,No,MTPL+,<66
57,1367,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL+,<66
23,1367,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,<66
38,1370,0.7205479452,-0.327743321,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,<66
57,1370,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
25,1370,1,0,1,1,1041.152804,6-10,Female,Gasoil,Once,Private,No,No,MTPL,<66
53,1370,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,<66
22,1370,1,0,0,0,0,>10,Female,Petrol,Thrice,Private,No,No,MTPL,<66
38,1380,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL+,<66
24,1380,0.0246575342,-3.702672776,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,<66
28,1400,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
70,1400,1,0,0,0,0,6-10,Female,Gasoil,Twice,Private,No,No,MTPL,<66
44,1400,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL+,<66
28,1400,1,0,0,0,0,0-1,Female,Petrol,Twice,Private,No,No,MTPL+,<66
64,1410,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,<66
46,1410,1,0,0,0,0,2-5,Female,Petrol,Monthly,Professional,No,No,MTPL+++,<66
37,1410,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
38,1410,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL,<66
54,1420,0.9150684932,-0.088756361,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,<66
54,1420,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
